CONDITION,CORRECT,DOMAIN,ITEM,ITEM1,ITEM1_STATUS,ITEM1_TYPE,ITEM2,ITEM2_STATUS,ITEM2_TYPE,LOGICAL_TRUTH,MODAL_LEX,PERM_PAIR,SEGMENTS,SENTENCE,STRUCTURE,SUBCONDITION,TRIBE,VERB
DOUBLE_CONTROL,N,modal,D187,an apple,forbidden,Fruit,a cranberry,forbidden,Fruit,N,may,,"[{'text': 'Betty-the-Urbanite', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'an apple or a cranberry'}]",Betty-the-Urbanite may eat an apple or a cranberry,double,forbidden|forbidden,Urbanite,may
DOUBLE_CONTROL,Y,want,D154,caramel,,wants,a muffin,,wants,Y,,,"[{'text': 'Thomas-the-Urbanite', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'caramel or a muffin'}]",Thomas-the-Urbanite wants to eat caramel or a muffin,double,wants|wants,Urbanite,want
EXPERIMENTAL,Y,modal,E136,an orange,allowed,Fruit,a muffin,forbidden,Sweet,Y,may,allowed|forbidden,"[{'text': 'Ashley-the-Nomad', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'an orange or a muffin'}]",Ashley-the-Nomad may eat an orange or a muffin,disjunction,,Nomad,may
DOUBLE_CONTROL,Y,want,D166,an apple,,wants,a cranberry,,wants,Y,,,"[{'text': 'Nancy-the-Nomad', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'an apple or a cranberry'}]",Nancy-the-Nomad wants to eat an apple or a cranberry,double,wants|wants,Nomad,want
EXPERIMENTAL,Y,modal,E126,a hotdog,allowed,Meat,an orange,forbidden,Fruit,Y,may,allowed|forbidden,"[{'text': 'Nancy-the-Urbanite', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a hotdog or an orange'}]",Nancy-the-Urbanite may eat a hotdog or an orange,disjunction,,Urbanite,may
EXPERIMENTAL,Y/N,want,E103,a lollipop,,wants,a meatball,,accepts,NA,,,"[{'text': 'Karen-the-Urbanite', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a lollipop or a meatball'}]",Karen-the-Urbanite wants to eat a lollipop or a meatball,disjunction,wants|accepts,Urbanite,want
SINGLE_CONTROL,Y,want,S37,a mango,,wants,,,,Y,,,"[{'text': 'Paul-the-Nomad', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a mango'}]",Paul-the-Nomad wants to eat a mango,single,,Nomad,want
DOUBLE_CONTROL,N,want,D151,a cherry,,dislikes,a pear,,dislikes,N,,,"[{'text': 'Jessica-the-Urbanite', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a cherry or a pear'}]",Jessica-the-Urbanite wants to eat a cherry or a pear,double,dislikes|dislikes,Urbanite,want
EXPERIMENTAL,Y,modal,E130,a strawberry,allowed,Fruit,a chocolate,forbidden,Sweet,Y,may,allowed|forbidden,"[{'text': 'Patricia-the-Nomad', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a strawberry or a chocolate'}]",Patricia-the-Nomad may eat a strawberry or a chocolate,disjunction,,Nomad,may
SINGLE_CONTROL,N,want,S58,pork,,accepts,,,,N,,,"[{'text': 'Anthony-the-Nomad', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'pork'}]",Anthony-the-Nomad wants to eat pork,single,,Nomad,want
DOUBLE_CONTROL,Y,want,D158,a brownie,,wants,a donut,,wants,Y,,,"[{'text': 'John-the-Urbanite', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a brownie or a donut'}]",John-the-Urbanite wants to eat a brownie or a donut,double,wants|wants,Urbanite,want
EXPERIMENTAL,Y,modal,E134,a pear,allowed,Fruit,a cupcake,forbidden,Sweet,Y,may,allowed|forbidden,"[{'text': 'Matthew-the-Nomad', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a pear or a cupcake'}]",Matthew-the-Nomad may eat a pear or a cupcake,disjunction,,Nomad,may
DOUBLE_CONTROL,N,modal,D205,a biscuit,forbidden,Sweet,a cookie,forbidden,Sweet,N,may,,"[{'text': 'Elizabeth-the-Nomad', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a biscuit or a cookie'}]",Elizabeth-the-Nomad may eat a biscuit or a cookie,double,forbidden|forbidden,Nomad,may
SINGLE_CONTROL,Y,modal,S87,ribs,allowed,Meat,,,,Y,may,,"[{'text': 'Daniel-the-Nomad', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'ribs'}]",Daniel-the-Nomad may eat ribs,single,,Nomad,may
SINGLE_CONTROL_MIND,N,mind,M249,a cupcake,,dislikes,,,,N,,,"[{'text': 'Margaret-the-Nomad', 'duration': 750}, {'text': 'does not', 'duration': 500}, {'text': 'mind', 'duration': 250}, {'text': 'eating', 'duration': 250}, {'text': 'a cupcake'}]",Margaret-the-Nomad does not mind eating a cupcake,single,,Nomad,does not mind
EXPERIMENTAL,Y,modal,E121,a cookie,allowed,Sweet,a grapefruit,forbidden,Fruit,Y,may,allowed|forbidden,"[{'text': 'Michael-the-Urbanite', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a cookie or a grapefruit'}]",Michael-the-Urbanite may eat a cookie or a grapefruit,disjunction,,Urbanite,may
SINGLE_CONTROL,N,modal,S73,an apple,forbidden,Fruit,,,,N,may,,"[{'text': 'Richard-the-Urbanite', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'an apple'}]",Richard-the-Urbanite may eat an apple,single,,Urbanite,may
EXPERIMENTAL,Y,modal,E131,a burger,allowed,Meat,a cookie,forbidden,Sweet,Y,may,allowed|forbidden,"[{'text': 'Sarah-the-Nomad', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a burger or a cookie'}]",Sarah-the-Nomad may eat a burger or a cookie,disjunction,,Nomad,may
EXPERIMENTAL,Y,modal,E137,a mango,allowed,Fruit,caramel,forbidden,Sweet,Y,may,allowed|forbidden,"[{'text': 'Susan-the-Nomad', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a mango or caramel'}]",Susan-the-Nomad may eat a mango or caramel,disjunction,,Nomad,may
DOUBLE_CONTROL,Y,modal,D206,an apple,allowed,Fruit,a cranberry,allowed,Fruit,Y,may,,"[{'text': 'Nancy-the-Nomad', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'an apple or a cranberry'}]",Nancy-the-Nomad may eat an apple or a cranberry,double,allowed|allowed,Nomad,may
SINGLE_CONTROL,N,want,S45,a cake,,dislikes,,,,N,,,"[{'text': 'Elizabeth-the-Nomad', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a cake'}]",Elizabeth-the-Nomad wants to eat a cake,single,,Nomad,want
SINGLE_CONTROL,Y,modal,S65,a cake,allowed,Sweet,,,,Y,may,,"[{'text': 'Steven-the-Urbanite', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a cake'}]",Steven-the-Urbanite may eat a cake,single,,Urbanite,may
SINGLE_CONTROL,Y,modal,S66,a hotdog,allowed,Meat,,,,Y,may,,"[{'text': 'Donna-the-Urbanite', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a hotdog'}]",Donna-the-Urbanite may eat a hotdog,single,,Urbanite,may
SINGLE_CONTROL,Y,modal,S80,a strawberry,allowed,Fruit,,,,Y,may,,"[{'text': 'Charles-the-Nomad', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a strawberry'}]",Charles-the-Nomad may eat a strawberry,single,,Nomad,may
DOUBLE_CONTROL,N,want,D149,a pear,,dislikes,an apple,,dislikes,N,,,"[{'text': 'James-the-Urbanite', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a pear or an apple'}]",James-the-Urbanite wants to eat a pear or an apple,double,dislikes|dislikes,Urbanite,want
DOUBLE_CONTROL,Y,modal,D192,a muffin,allowed,Sweet,a cake,allowed,Sweet,Y,may,,"[{'text': 'David-the-Urbanite', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a muffin or a cake'}]",David-the-Urbanite may eat a muffin or a cake,double,allowed|allowed,Urbanite,may
SINGLE_CONTROL,N,want,S20,a steak,,accepts,,,,N,,,"[{'text': 'Mary-the-Urbanite', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a steak'}]",Mary-the-Urbanite wants to eat a steak,single,,Urbanite,want
DOUBLE_CONTROL_MIND,Y,mind,N278,beef,,accepts,pork,,accepts,Y,,,"[{'text': 'John-the-Urbanite', 'duration': 750}, {'text': 'does not', 'duration': 500}, {'text': 'mind', 'duration': 250}, {'text': 'eating', 'duration': 250}, {'text': 'beef or pork'}]",John-the-Urbanite does not mind eating beef or pork,double,accepts|accepts,Urbanite,does not mind
EXPERIMENTAL,Y/N,want,E105,a cake,,wants,a meatloaf,,accepts,NA,,,"[{'text': 'Steven-the-Urbanite', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a cake or a meatloaf'}]",Steven-the-Urbanite wants to eat a cake or a meatloaf,disjunction,wants|accepts,Urbanite,want
SINGLE_CONTROL,N,want,S42,a biscuit,,dislikes,,,,N,,,"[{'text': 'Christopher-the-Nomad', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a biscuit'}]",Christopher-the-Nomad wants to eat a biscuit,single,,Nomad,want
DOUBLE_CONTROL,Y,modal,D190,a cake,allowed,Sweet,a sausage,allowed,Meat,Y,may,,"[{'text': 'Emily-the-Urbanite', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a cake or a sausage'}]",Emily-the-Urbanite may eat a cake or a sausage,double,allowed|allowed,Urbanite,may
SINGLE_CONTROL,N,want,S10,a strawberry,,dislikes,,,,N,,,"[{'text': 'Patricia-the-Urbanite', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a strawberry'}]",Patricia-the-Urbanite wants to eat a strawberry,single,,Urbanite,want
SINGLE_CONTROL_MIND,N,mind,M223,a grapefruit,,dislikes,,,,N,,,"[{'text': 'Karen-the-Urbanite', 'duration': 750}, {'text': 'does not', 'duration': 500}, {'text': 'mind', 'duration': 250}, {'text': 'eating', 'duration': 250}, {'text': 'a grapefruit'}]",Karen-the-Urbanite does not mind eating a grapefruit,single,,Urbanite,does not mind
DOUBLE_CONTROL,N,want,D145,a cranberry,,dislikes,a grapefruit,,dislikes,N,,,"[{'text': 'Steven-the-Urbanite', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a cranberry or a grapefruit'}]",Steven-the-Urbanite wants to eat a cranberry or a grapefruit,double,dislikes|dislikes,Urbanite,want
DOUBLE_CONTROL_MIND,N,mind,N281,a chocolate,,dislikes,a brownie,,dislikes,N,,,"[{'text': 'Michael-the-Nomad', 'duration': 750}, {'text': 'does not', 'duration': 500}, {'text': 'mind', 'duration': 250}, {'text': 'eating', 'duration': 250}, {'text': 'a chocolate or a brownie'}]",Michael-the-Nomad does not mind eating a chocolate or a brownie,double,dislikes|dislikes,Nomad,does not mind
EXPERIMENTAL,Y/N,want,E112,a cranberry,,wants,a biscuit,,dislikes,NA,,,"[{'text': 'David-the-Nomad', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a cranberry or a biscuit'}]",David-the-Nomad wants to eat a cranberry or a biscuit,disjunction,wants|dislikes,Nomad,want
SINGLE_CONTROL,N,want,S53,a meatball,,accepts,,,,N,,,"[{'text': 'Andrew-the-Nomad', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a meatball'}]",Andrew-the-Nomad wants to eat a meatball,single,,Nomad,want
DOUBLE_CONTROL,N,modal,D213,a muffin,forbidden,Sweet,a cake,forbidden,Sweet,N,may,,"[{'text': 'Andrew-the-Nomad', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a muffin or a cake'}]",Andrew-the-Nomad may eat a muffin or a cake,double,forbidden|forbidden,Nomad,may
SINGLE_CONTROL,N,modal,S94,a cupcake,forbidden,Sweet,,,,N,may,,"[{'text': 'Matthew-the-Nomad', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a cupcake'}]",Matthew-the-Nomad may eat a cupcake,single,,Nomad,may
DOUBLE_CONTROL,Y,want,D172,an orange,,wants,a cherry,,wants,Y,,,"[{'text': 'Linda-the-Nomad', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'an orange or a cherry'}]",Linda-the-Nomad wants to eat an orange or a cherry,double,wants|wants,Nomad,want
SINGLE_CONTROL_MIND,Y,mind,M240,a steak,,accepts,,,,Y,,,"[{'text': 'Charles-the-Nomad', 'duration': 750}, {'text': 'does not', 'duration': 500}, {'text': 'mind', 'duration': 250}, {'text': 'eating', 'duration': 250}, {'text': 'a steak'}]",Charles-the-Nomad does not mind eating a steak,single,,Nomad,does not mind
SINGLE_CONTROL_MIND,Y,mind,M248,a sausage,,accepts,,,,Y,,,"[{'text': 'William-the-Nomad', 'duration': 750}, {'text': 'does not', 'duration': 500}, {'text': 'mind', 'duration': 250}, {'text': 'eating', 'duration': 250}, {'text': 'a sausage'}]",William-the-Nomad does not mind eating a sausage,single,,Nomad,does not mind
DOUBLE_CONTROL_MIND,Y,mind,N268,a sausage,,accepts,a meatball,,accepts,Y,,,"[{'text': 'Robert-the-Urbanite', 'duration': 750}, {'text': 'does not', 'duration': 500}, {'text': 'mind', 'duration': 250}, {'text': 'eating', 'duration': 250}, {'text': 'a sausage or a meatball'}]",Robert-the-Urbanite does not mind eating a sausage or a meatball,double,accepts|accepts,Urbanite,does not mind
SINGLE_CONTROL,N,want,S16,an orange,,dislikes,,,,N,,,"[{'text': 'Ashley-the-Urbanite', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'an orange'}]",Ashley-the-Urbanite wants to eat an orange,single,,Urbanite,want
SINGLE_CONTROL,N,want,S24,a sausage,,accepts,,,,N,,,"[{'text': 'Joshua-the-Urbanite', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a sausage'}]",Joshua-the-Urbanite wants to eat a sausage,single,,Urbanite,want
DOUBLE_CONTROL_MIND,N,mind,N289,a cupcake,,dislikes,a lollipop,,dislikes,N,,,"[{'text': 'Margaret-the-Nomad', 'duration': 750}, {'text': 'does not', 'duration': 500}, {'text': 'mind', 'duration': 250}, {'text': 'eating', 'duration': 250}, {'text': 'a cupcake or a lollipop'}]",Margaret-the-Nomad does not mind eating a cupcake or a lollipop,double,dislikes|dislikes,Nomad,does not mind
EXPERIMENTAL,Y/N,want,E106,a muffin,,wants,an orange,,dislikes,NA,,,"[{'text': 'Donna-the-Urbanite', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a muffin or an orange'}]",Donna-the-Urbanite wants to eat a muffin or an orange,disjunction,wants|dislikes,Urbanite,want
EXPERIMENTAL,Y/N,want,E107,caramel,,wants,ribs,,accepts,NA,,,"[{'text': 'Betty-the-Urbanite', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'caramel or ribs'}]",Betty-the-Urbanite wants to eat caramel or ribs,disjunction,wants|accepts,Urbanite,want
EXPERIMENTAL,Y,modal,E132,a cranberry,allowed,Fruit,a biscuit,forbidden,Sweet,Y,may,allowed|forbidden,"[{'text': 'Linda-the-Nomad', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a cranberry or a biscuit'}]",Linda-the-Nomad may eat a cranberry or a biscuit,disjunction,,Nomad,may
EXPERIMENTAL,Y,modal,E122,a biscuit,allowed,Sweet,a cranberry,forbidden,Fruit,Y,may,allowed|forbidden,"[{'text': 'Christopher-the-Urbanite', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a biscuit or a cranberry'}]",Christopher-the-Urbanite may eat a biscuit or a cranberry,disjunction,,Urbanite,may
EXPERIMENTAL,Y/N,want,E113,an apple,,wants,a meatball,,accepts,NA,,,"[{'text': 'Richard-the-Nomad', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'an apple or a meatball'}]",Richard-the-Nomad wants to eat an apple or a meatball,disjunction,wants|accepts,Nomad,want
SINGLE_CONTROL,Y,want,S4,a cupcake,,wants,,,,Y,,,"[{'text': 'Barbara-the-Urbanite', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a cupcake'}]",Barbara-the-Urbanite wants to eat a cupcake,single,,Urbanite,want
SINGLE_CONTROL_MIND,N,mind,M257,a donut,,dislikes,,,,N,,,"[{'text': 'Susan-the-Nomad', 'duration': 750}, {'text': 'does not', 'duration': 500}, {'text': 'mind', 'duration': 250}, {'text': 'eating', 'duration': 250}, {'text': 'a donut'}]",Susan-the-Nomad does not mind eating a donut,single,,Nomad,does not mind
SINGLE_CONTROL_MIND,Y,mind,M258,beef,,accepts,,,,Y,,,"[{'text': 'Anthony-the-Nomad', 'duration': 750}, {'text': 'does not', 'duration': 500}, {'text': 'mind', 'duration': 250}, {'text': 'eating', 'duration': 250}, {'text': 'beef'}]",Anthony-the-Nomad does not mind eating beef,single,,Nomad,does not mind
SINGLE_CONTROL,N,want,S50,a steak,,accepts,,,,N,,,"[{'text': 'Patricia-the-Nomad', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a steak'}]",Patricia-the-Nomad wants to eat a steak,single,,Nomad,want
DOUBLE_CONTROL_MIND,N,mind,N263,a grapefruit,,dislikes,a strawberry,,dislikes,N,,,"[{'text': 'Karen-the-Urbanite', 'duration': 750}, {'text': 'does not', 'duration': 500}, {'text': 'mind', 'duration': 250}, {'text': 'eating', 'duration': 250}, {'text': 'a grapefruit or a strawberry'}]",Karen-the-Urbanite does not mind eating a grapefruit or a strawberry,double,dislikes|dislikes,Urbanite,does not mind
EXPERIMENTAL,Y/N,want,E114,a pear,,wants,a cupcake,,dislikes,NA,,,"[{'text': 'Thomas-the-Nomad', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a pear or a cupcake'}]",Thomas-the-Nomad wants to eat a pear or a cupcake,disjunction,wants|dislikes,Nomad,want
DOUBLE_CONTROL,N,modal,D219,a brownie,forbidden,Sweet,a donut,forbidden,Sweet,N,may,,"[{'text': 'Jennifer-the-Nomad', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a brownie or a donut'}]",Jennifer-the-Nomad may eat a brownie or a donut,double,forbidden|forbidden,Nomad,may
SINGLE_CONTROL,Y,want,S36,an orange,,wants,,,,Y,,,"[{'text': 'Donald-the-Nomad', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'an orange'}]",Donald-the-Nomad wants to eat an orange,single,,Nomad,want
SINGLE_CONTROL,N,want,S25,a meatloaf,,accepts,,,,N,,,"[{'text': 'Steven-the-Urbanite', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a meatloaf'}]",Steven-the-Urbanite wants to eat a meatloaf,single,,Urbanite,want
SINGLE_CONTROL,Y,want,S38,a plum,,wants,,,,Y,,,"[{'text': 'John-the-Nomad', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a plum'}]",John-the-Nomad wants to eat a plum,single,,Nomad,want
